Country,Wealth Gini (2008),Wealth Gini (2018),Wealth Gini (2019),Population (in thousands),Percentage of population,Nominal GDP (in millions),Percentage of world GDP,GDP per capita
World,0.804,0.904,0.885,7631091.11,100.00%,85909816,100.00%,11258
Afghanistan,,,0.655,,,,,
Albania,0.642,0.629,0.637,2882.74,0.04%,15103,0.02%,5239
,0.67,0.758,0.749,42228.42,0.55%,173758,0.20%,4115
Angola,,,0.731,,,,,
Antigua and Barbuda,0.747,0.838,0.8230000000000001,96.28,0.00%,1611,0.00%,16732
Argentina,0.74,0.792,0.768,44361.15,0.58%,519872,0.61%,11719
Armenia,0.684,0.645,0.663,2951.74,0.04%,12433,0.01%,4212
Aruba,,,0.7030000000000001,,,,,
Australia,0.622,0.658,0.656,24898.15,0.33%,1433904,1.67%,57591
Austria,0.646,0.764,0.739,8891.38,0.12%,455286,0.53%,51205
Azerbaijan,0.678,0.643,0.654,9949.54,0.13%,46940,0.05%,4718
Bahamas,,,0.8280000000000001,,,,,
Bahrain,,,0.747,,,,,
Bangladesh,0.66,0.671,0.678,161376.71,2.11%,274025,0.32%,1698
Barbados,0.706,0.788,0.778,285.72,0.00%,4990,0.01%,17465
Belarus,0.628,0.614,0.621,9452.62,0.12%,59662,0.07%,6312
Belgium,0.662,0.659,0.603,11482.18,0.15%,542761,0.63%,47270
Belize,0.763,0.8150000000000001,0.803,383.07,0.01%,1871,0.00%,4884
Benin,0.713,0.6890000000000001,0.707,11485.04,0.15%,10354,0.01%,902
Bolivia,0.762,0.779,0.764,11050.0,0.14%,40288,0.05%,3646
Bosnia and Herzegovina,,,0.642,,,,,
Botswana,0.751,0.783,0.8,2254.07,0.03%,18616,0.02%,8259
Brazil,0.62,0.8230000000000001,0.849,209469.32,2.74%,1868626,2.18%,8921
Brunei,,,0.787,,,,,
Bulgaria,0.652,0.647,0.659,7051.61,0.09%,65133,0.08%,9237
Burkina Faso,0.728,0.674,0.6880000000000001,19751.47,0.26%,14125,0.02%,715
Burundi,0.6990000000000001,0.654,0.681,11175.38,0.15%,3037,0.00%,272
Cambodia,0.714,0.704,0.718,16249.8,0.21%,24542,0.03%,1510
Cameroon,0.711,0.725,0.743,25216.26,0.33%,38675,0.05%,1534
Canada,0.6880000000000001,0.726,0.728,37074.56,0.49%,1713342,1.99%,46213
Central African Republic,0.782,0.768,0.777,4666.38,0.06%,2220,0.00%,476
Chad,0.681,0.715,0.73,15477.73,0.20%,11273,0.01%,728
,0.777,0.773,0.798,18729.17,0.25%,298231,0.35%,15923
China,0.55,0.714,0.7020000000000001,1427647.79,18.71%,13608152,15.84%,9532
Colombia,0.765,0.807,0.77,49661.06,0.65%,331047,0.39%,6666
Comoros,0.711,0.766,0.783,832.32,0.01%,1178,0.00%,1415
"Congo, Dem. Rep.",,,0.755,,,,,
"Congo, Rep.",,,0.769,,,,,
Costa Rica,0.732,0.769,0.75,4999.44,0.07%,60130,0.07%,12027
Croatia,0.654,0.631,0.645,4156.41,0.05%,60972,0.07%,14669
Cyprus,,,0.801,,,,,
Czech Republic,0.626,0.758,0.725,10649.8,0.14%,245226,0.29%,23026
Denmark,0.808,0.835,0.838,5752.13,0.08%,355675,0.41%,61834
Djibouti,,,0.729,,,,,
Dominica,0.763,0.84,0.8230000000000001,71.63,0.00%,551,0.00%,7693
Dominican Republic,0.723,NA,,10627.15,0.14%,85555,0.10%,8051
Ecuador,0.76,0.776,0.759,17084.36,0.22%,108398,0.13%,6345
Egypt,0.6890000000000001,0.909,0.756,99581.2,1.30%,250895,0.29%,2520
El Salvador,0.746,0.759,0.743,6420.74,0.08%,26057,0.03%,4058
Equatorial Guinea,0.6880000000000001,0.781,0.793,1308.97,0.02%,13432,0.02%,10262
Eritrea,,,0.621,,,,,
Estonia,0.675,0.715,0.716,1322.91,0.02%,30732,0.04%,23231
Swaziland,0.78,NA,,1136.27,0.01%,4711,0.01%,4146
Ethiopia,0.652,0.612,0.62,109224.41,1.43%,84356,0.10%,772
Fiji,0.709,0.6940000000000001,0.7020000000000001,883.49,0.01%,5537,0.01%,6267
Finland,0.615,0.767,0.742,5522.59,0.07%,276743,0.32%,50111
France,0.73,0.687,0.6960000000000001,64990.51,0.85%,2777535,3.23%,42738
Gabon,0.784,0.7000000000000001,0.719,2119.28,0.03%,16854,0.02%,7953
Gambia,0.723,0.755,0.771,2051.36,0.03%,1633,0.00%,796
Georgia,0.725,0.678,0.687,4002.95,0.05%,17600,0.02%,4397
Germany,0.667,0.8160000000000001,0.8160000000000001,83124.41,1.09%,3947620,4.60%,47491
Ghana,0.6920000000000001,0.682,0.6990000000000001,29767.11,0.39%,65556,0.08%,2202
Greece,0.654,0.682,0.654,10522.24,0.14%,218032,0.25%,20721
Grenada,0.763,0.842,0.8270000000000001,111.45,0.00%,1186,0.00%,10642
Guatemala,0.779,NA,,17247.86,0.23%,78460,0.09%,4549
Guinea,0.6930000000000001,0.716,0.741,12414.29,0.16%,10907,0.01%,879
Guinea-Bissau,0.71,0.6970000000000001,0.712,1874.3,0.02%,1458,0.00%,778
Guyana,0.707,0.75,0.734,779.01,0.01%,3879,0.00%,4979
Haiti,0.755,0.8200000000000001,0.801,11123.18,0.15%,9659,0.01%,868
Honduras,0.743,0.804,,9587.52,0.13%,23970,0.03%,2500
Hong Kong,0.74,NA,0.777,7482.5,0.10%,362682,0.42%,48471
Hungary,0.651,0.662,0.663,9707.5,0.13%,157883,0.18%,16264
Iceland,0.664,0.731,0.6940000000000001,336.71,0.00%,25878,0.03%,76855
India,0.669,0.854,0.8320000000000001,1352642.28,17.73%,2718732,3.16%,2010
Indonesia,0.764,0.84,0.833,267670.55,3.51%,1042173,1.21%,3893
Iran,0.707,0.705,0.705,82531.7,1.08%,454013,0.53%,5501
Iraq,,,0.633,,,,,
Ireland,0.581,0.8300000000000001,0.796,4818.69,0.06%,382487,0.45%,79376
Israel,0.677,0.766,0.777,8381.51,0.11%,370588,0.43%,44215
Italy,0.609,0.6890000000000001,0.669,60627.29,0.79%,2083864,2.43%,34372
Ivory Coast,0.712,NA,,25069.23,0.33%,43007,0.05%,1716
Jamaica,0.686,0.788,0.775,2934.85,0.04%,15714,0.02%,5354
Japan,0.547,0.631,0.626,127202.19,1.67%,4971323,5.79%,39082
Jordan,0.678,0.677,0.6960000000000001,9965.32,0.13%,42231,0.05%,4238
Kazakhstan,0.655,0.9520000000000001,0.772,18319.62,0.24%,179340,0.21%,9790
Kenya,0.6990000000000001,0.732,0.745,51392.57,0.67%,87908,0.10%,1711
Kuwait,,,0.763,,,,,
Kyrgyzstan,0.68,0.673,0.681,6389.5,0.08%,8093,0.01%,1267
Laos,,,0.794,,,,,
Latvia,0.67,0.788,0.789,1928.46,0.03%,34409,0.04%,17843
Lebanon,0.762,0.889,0.8190000000000001,6859.41,0.09%,56639,0.07%,8257
Lesotho,0.767,0.795,0.805,2108.33,0.03%,2739,0.00%,1299
Liberia,,,0.727,,,,,
Libya,,,0.659,,,,,
Lithuania,0.666,0.655,0.663,2801.27,0.04%,53429,0.06%,19073
Luxembourg,0.65,0.663,0.67,604.24,0.01%,70885,0.08%,117312
Macau,0.58,NA,,667.4,0.01%,55084,0.06%,82535
Madagascar,0.722,0.7020000000000001,0.722,26262.31,0.34%,13853,0.02%,527
Malawi,0.736,0.733,0.751,18143.22,0.24%,7065,0.01%,389
Malaysia,0.733,0.8200000000000001,0.796,31528.03,0.41%,358582,0.42%,11373
Maldives,,,0.724,,,,,
Mali,0.75,0.682,0.707,19077.76,0.25%,17163,0.02%,900
Malta,0.664,0.631,0.64,439.26,0.01%,14553,0.02%,33131
Mauritania,0.686,0.667,0.681,4403.31,0.06%,5235,0.01%,1189
Mauritius,0.661,0.64,0.662,1267.18,0.02%,14220,0.02%,11222
Mexico,0.749,0.8,0.777,126190.78,1.65%,1220699,1.42%,9673
Moldova,,,0.645,,,,,
Mongolia,,,0.668,,,,,
Montenegro,,,0.648,,,,,
Morocco,0.6900000000000001,0.802,0.766,36029.09,0.47%,117921,0.14%,3273
Mozambique,0.6890000000000001,0.7000000000000001,0.716,29496.0,0.39%,14717,0.02%,499
Myanmar,,,0.597,,,,,
Namibia,0.847,0.776,0.788,2448.3,0.03%,14522,0.02%,5931
Nepal,,,0.71,,,,,
Netherlands,0.65,0.736,0.902,17059.56,0.22%,913658,1.06%,53557
New Zealand,0.651,0.708,0.672,4743.13,0.06%,204924,0.24%,43204
Nicaragua,0.755,0.778,0.759,6465.5,0.08%,13118,0.02%,2029
Niger,0.729,0.66,0.682,22442.83,0.29%,9291,0.01%,414
Nigeria,0.729,0.894,0.809,195874.69,2.57%,397270,0.46%,2028
North Macedonia,0.661,0.655,,2082.96,0.03%,12672,0.01%,6084
Norway,0.633,0.791,0.798,5337.96,0.07%,434167,0.51%,81336
Oman,,,0.786,,,,,
Pakistan,0.6980000000000001,0.65,0.665,212228.29,2.78%,314588,0.37%,1482
Panama,0.766,0.795,0.78,4176.87,0.05%,65055,0.08%,15575
Papua New Guinea,0.738,0.76,0.766,8606.32,0.11%,23498,0.03%,2730
Paraguay,0.766,0.785,0.768,6956.07,0.09%,40497,0.05%,5822
Peru,0.738,0.795,0.788,31989.27,0.42%,222045,0.26%,6941
Philippines,0.717,0.8260000000000001,0.837,106651.39,1.40%,330910,0.39%,3103
Poland,0.657,0.722,0.677,37921.59,0.50%,585664,0.68%,15444
Portugal,0.667,0.736,0.6920000000000001,10256.19,0.13%,240675,0.28%,23466
Puerto Rico,0.753,NA,,3039.6,0.04%,101131,0.12%,33271
Qatar,,,0.633,,,,,
Romania,0.651,0.728,0.647,19506.11,0.26%,239553,0.28%,12281
Russia,0.6990000000000001,0.875,0.879,146801.93,1.92%,1657555,1.93%,11291
Rwanda,0.714,0.728,0.742,12301.97,0.16%,9509,0.01%,773
Samoa,,,0.747,,,,,
Sao Tome and Principe,,,0.674,,,,,
Saudi Arabia,0.737,0.81,0.834,33702.76,0.44%,786522,0.92%,23337
Senegal,0.6970000000000001,0.705,0.726,15854.32,0.21%,24130,0.03%,1522
Serbia,NA,NA,0.676,8802.74,0.12%,50597,0.06%,5748
Seychelles,0.76,0.679,0.704,97.09,0.00%,1590,0.00%,16376
Sierra Leone,0.687,0.671,0.6940000000000001,7650.15,0.10%,4085,0.00%,534
Singapore,0.6890000000000001,0.758,0.757,5757.5,0.08%,364157,0.42%,63249
Slovakia,0.629,0.498,0.498,5453.02,0.07%,105905,0.12%,19421
Slovenia,0.626,0.646,0.662,2077.84,0.03%,54008,0.06%,25992
Solomon Islands,,,0.7000000000000001,,,,,
South Africa,0.763,0.806,0.806,57792.52,0.76%,368289,0.43%,6373
South Korea,0.579,0.67,0.606,51709.1,0.68%,1619424,1.89%,31318
Spain,0.5700000000000001,0.6970000000000001,0.6940000000000001,46692.86,0.61%,1419042,1.65%,30391
Sri Lanka,0.665,0.687,0.7000000000000001,21228.76,0.28%,88901,0.10%,4188
St. Lucia,,,0.728,,,,,
St. Vincent and the Grenadines,,,0.8180000000000001,,,,,
Sudan,,,0.687,,,,,
Suriname,,,0.8320000000000001,,,,,
Sweden,0.742,0.865,0.867,9971.63,0.13%,556086,0.65%,55767
Switzerland,0.803,0.741,0.705,8570.15,0.11%,705140,0.82%,82279
Syria,,,0.6990000000000001,,,,,
Taiwan,,,0.751,,,,,
Tajikistan,,,0.656,,,,,
Tanzania,0.676,0.65,0.661,56313.44,0.74%,58001,0.07%,1030
Thailand,0.71,0.902,0.846,69428.45,0.91%,504993,0.59%,7274
Timor-Leste,,,0.5650000000000001,,,,,
Togo,0.711,0.719,0.734,7889.1,0.10%,5359,0.01%,679
Tonga,,,0.682,,,,,
Trinidad and Tobago,0.6890000000000001,0.748,0.732,1389.84,0.02%,23808,0.03%,17130
Tunisia,0.6930000000000001,0.683,0.705,11565.2,0.15%,39871,0.05%,3447
Turkey,0.718,0.871,0.794,82340.09,1.08%,771350,0.90%,9368
Turkmenistan,,,0.63,,,,,
Uganda,0.723,0.714,0.729,42729.03,0.56%,27461,0.03%,643
Ukraine,0.667,0.9550000000000001,0.847,44246.16,0.58%,130832,0.15%,2957
United Arab Emirates,,,0.796,,,,,
United Kingdom,0.6970000000000001,0.747,0.746,67141.68,0.88%,2855297,3.32%,42526
United States,0.801,0.852,0.852,327096.26,4.29%,20544343,23.91%,62808
Uruguay,0.708,0.741,0.721,3449.29,0.05%,59597,0.07%,17278
Vanuatu,,,0.6880000000000001,,,,,
Venezuela,,,0.743,,,,,
Vietnam,0.682,0.708,0.761,95545.96,1.25%,245214,0.29%,2566
Yemen,0.613,0.801,0.798,28498.68,0.37%,26914,0.03%,944
Zambia,0.766,0.787,0.798,17351.71,0.23%,26720,0.03%,1540
Zimbabwe,0.845,0.707,0.719,14438.81,0.19%,31001,0.04%,2147
